airport_from|airport_to|distance_km|flight_time_hour
CGK|BTJ|1797.98|2.65
CGK|BDO|133.25|1.1
CGK|MLG|697.95|1.52
CGK|SRG|421.47|1.3
CGK|SUB|691.17|1.5
CGK|JOG|455.91|1.33
CGK|YIA|455.91|1.33
CGK|SOC|478.42|1.35
CGK|TKG|191.09|1.13
CGK|BTH|853.55|1.62
CGK|BKS|540.26|1.4
CGK|DJB|600.46|1.43
CGK|KNO|1387.06|2.35
CGK|PDG|911.03|1.67
CGK|PLM|419.24|1.3
CGK|PGK|444.4|1.32
CGK|PKU|933.19|2.02
CGK|TNJ|818.39|1.6
CGK|BPN|1257.52|2.25
CGK|BDJ|946.44|2.02
CGK|PNK|730.99|1.53
CGK|SRI|1323.27|2.3
CGK|TRK|1604.01|2.5
CGK|UPG|1432.14|2.38
CGK|MDC|2200.48|3.27
CGK|DPS|982.54|2.05
CGK|LOP|1100.22|2.13
CGK|BIK|3312.68|4.42
CGK|DJJ|3773.77|5.08
CGK|MKQ|3731.68|5.07
